City,Month,Max Temp,Min Temp
Los Angeles,May,18.8,-65.8
Los Angeles,June,20.7,-69.2
Los Angeles,July,22.9,-73.3
Los Angeles,August,23.5,-74.3
Los Angeles,September,22.8,-73.1
Los Angeles,October,20.3,-68.6
Los Angeles,November,16.9,-62.4
Los Angeles,December,14.2,-57.6
Louisville,January,1.1,-34
Louisville,February,3.3,-37.9
Louisville,March,8.3,-46.9
Louisville,April,13.9,-57
Louisville,May,18.9,-66.1
Louisville,June,23.7,-74.6
Louisville,July,25.7,-78.2
Louisville,August,25.2,-77.3
Louisville,September,21.1,-70
Louisville,October,14.8,-58.6
Louisville,November,8.7,-47.7
Louisville,December,2.7,-36.9
Memphis,January,5.2,-41.3
Memphis,February,7.5,-45.5
Memphis,March,12.2,-54
Memphis,April,17.2,-63
Memphis,May,22.1,-71.7
Memphis,June,26.4,-79.6
Memphis,July,28.2,-82.7
Memphis,August,27.8,-82.1
Memphis,September,24,-75.2
Memphis,October,17.8,-64.1
Memphis,November,11.8,-53.2
Memphis,December,6.4,-43.6
Miami,January,19.9,-67.9
Miami,February,21.1,-70
Miami,March,22.4,-72.4
Miami,April,24.2,-75.6
Miami,May,26.5,-79.7
Miami,June,28.1,-82.5
Miami,July,28.8,-83.9
Miami,August,28.9,-84
Miami,September,28.2,-82.7
Miami,October,26.4,-79.6
Miami,November,23.7,-74.7
Miami,December,21.2,-70.2
Milwaukee,January,−5.2,-22.6
Milwaukee,February,−3.2,-26.3
Milwaukee,March,1.9,-35.4
Milwaukee,April,7.8,-46
Milwaukee,May,13.3,-56
Milwaukee,June,19.2,-66.6
Milwaukee,July,22.3,-72.1
Milwaukee,August,21.7,-71
Milwaukee,September,17.4,-63.3
Milwaukee,October,10.9,-51.6
Milwaukee,November,4.1,-39.3
Milwaukee,December,−2.9,-26.8
Minneapolis,January,−9.1,-15.6
Minneapolis,February,−6.2,-20.8
Minneapolis,March,0.4,-32.7
Minneapolis,April,8.6,-47.5
Minneapolis,May,15.1,-59.1
Minneapolis,June,20.4,-68.7
Minneapolis,July,23.2,-73.7
Minneapolis,August,21.7,-71.1
Minneapolis,September,16.7,-62
Minneapolis,October,9.4,-48.9
Minneapolis,November,0.9,-33.7
Minneapolis,December,−6.8,-19.7
Nashville,January,3.4,-38.1
Nashville,February,5.7,-42.2
Nashville,March,10.3,-50.5
Nashville,April,15.3,-59.5
Nashville,May,20,-68
Nashville,June,24.6,-76.2
Nashville,July,26.6,-79.9
Nashville,August,26.2,-79.2
Nashville,September,22.2,-72
Nashville,October,16,-60.8
Nashville,November,10.2,-50.3
Nashville,December,4.9,-40.9
New Orleans,January,11.6,-52.9
New Orleans,February,13.4,-56.2
New Orleans,March,16.8,-62.2
New Orleans,April,20.3,-68.6
New Orleans,May,24.6,-76.2
New Orleans,June,27.2,-81
New Orleans,July,28.2,-82.8
New Orleans,August,28.2,-82.8
